,Distance,Depth,Magnetic_Anomaly
0,-1055.2,4448,21.263156518952357
1,-1054.8,4446,14.886149110954953
2,-1054.4,4444,8.94618126277453
3,-1054.0,4452,4.53104620781572
4,-1053.6,4456,-1.3757269896469637
5,-1053.3,4459,-8.722429878924004
6,-1052.9,4465,-15.605742466282091
7,-1052.5,4474,-22.49166927272503
8,-1052.1,4474,-28.952597300435226
9,-1051.7,4486,-35.78162177947889
10,-1051.3,4472,-42.98483851932747
11,-1050.9,4462,-50.614650371112305
12,-1050.5,4456,-58.25671172013994
13,-1050.1,4447,-65.48652523105031
14,-1049.7,4433,-72.78000802753526
15,-1049.3,4418,-79.67827763288442
16,-1048.9,4437,-85.47005578842383
17,-1048.5,4429,-92.38532910212531
18,-1048.1,4435,-99.29571287802185
19,-1047.7,4438,-106.22032315833306
20,-1047.3,4434,-111.0050993206336
21,-1046.9,4425,-116.65927336097036
22,-1046.5,4428,-121.06637376050813
23,-1046.1,4423,-127.3459993368077
24,-1045.7,4414,-130.82550948063175
25,-1045.3,4405,-135.2907740590261
26,-1044.9,4392,-140.88716314888293
27,-1044.5,4381,-147.47804020745207
28,-1044.1,4382,-152.02823824797002
29,-1043.7,4385,-158.02410411140005
30,-1043.3,4370,-163.99726886285396
31,-1042.9,4373,-168.33754307152935
32,-1042.5,4379,-172.62762560950455
33,-1042.1,4380,-176.62991395230853
34,-1041.7,4380,-181.05305945493635
35,-1041.3,4373,-183.56957464140552
36,-1040.9,4377,-185.8659619841729
37,-1040.5,4359,-188.6107888723643
38,-1040.1,4352,-188.89998097447992
39,-1039.7,4356,-189.7062013826354
40,-1039.3,4350,-190.9392296217632
41,-1039.0,4354,-190.74736324779622
42,-1038.6,4344,-191.11637992203003
43,-1038.2,4340,-192.59323741492915
44,-1037.8,4320,-192.58180457594747
45,-1037.4,4314,-195.67724659154533
46,-1037.0,4316,-197.9191058971524
47,-1036.6,4317,-200.87477642079983
48,-1036.2,4326,-204.95176957745224
49,-1035.8,4332,-210.24111162902136
50,-1035.4,4322,-215.0901747162381
51,-1035.0,4325,-221.77853823202983
52,-1034.6,4317,-227.50563369280738
53,-1034.2,4316,-233.5115383489999
54,-1033.8,4316,-238.59078306120801
55,-1033.4,4313,-243.89532003889406
56,-1033.0,4313,-248.8904500021244
57,-1032.6,4314,-251.26762137607597
58,-1032.2,4329,-251.74628690901952
59,-1031.9,4330,-247.687781349745
60,-1031.5,4319,-242.4484709791911
61,-1031.1,4306,-235.1983056236173
62,-1030.7,4300,-226.84415883613002
63,-1030.3,4302,-215.31805182245012
64,-1029.9,4305,-200.7718921469954
65,-1029.5,4312,-181.69058640465062
66,-1029.1,4305,-163.69292791451744
67,-1028.7,4295,-142.33849253539185
68,-1028.3,4291,-116.8237796438651
69,-1027.9,4291,-96.63987740313209
70,-1027.5,4285,-73.7833548880521
71,-1027.1,4286,-50.514302459450974
72,-1026.7,4281,-28.254117914588896
73,-1026.3,4275,-7.382440649084611
74,-1025.9,4273,13.492129092437747
75,-1025.5,4281,33.84854845509687
76,-1025.1,4288,52.360573829520966
77,-1024.7,4294,67.57479952609444
78,-1024.3,4271,80.2968002005224
79,-1023.9,4256,91.16301886745235
80,-1023.5,4252,98.92169552932953
81,-1023.2,4239,105.39800597602208
82,-1022.8,4240,111.1700317479505
83,-1022.4,4238,113.742358259213
84,-1022.0,4243,114.4623126128385
85,-1021.6,4258,114.88424637717814
86,-1021.2,4248,114.30221378429336
87,-1020.8,4235,111.72610002872128
88,-1020.4,4236,105.92212886634503
89,-1020.0,4233,98.44450673181211
90,-1019.6,4221,89.28377574320147
91,-1019.2,4210,78.30929554843284
92,-1018.8,4214,65.44967979612308
93,-1018.4,4193,52.32777123993646
94,-1018.0,4187,34.958636034188224
95,-1017.7,4191,18.923343714125295
96,-1017.3,4204,1.56557782480693
97,-1016.9,4218,-17.77882366436773
98,-1016.5,4234,-37.63209286686193
99,-1016.1,4239,-58.36649824106713
100,-1015.7,4250,-77.66498254978784
101,-1015.3,4257,-98.41166905983812
102,-1014.9,4259,-119.02244861643803
103,-1014.5,4261,-136.27755511903626
104,-1014.1,4271,-154.33085972295427
105,-1013.7,4272,-171.28615045742478
106,-1013.4,4284,-186.4137068967924
107,-1013.0,4282,-198.0934028516829
108,-1012.6,4285,-207.63441758018482
109,-1012.2,4289,-216.26382175026873
110,-1011.8,4296,-221.16977020223075
111,-1011.4,4306,-224.86361509394376
112,-1011.1,4308,-227.00020159184788
113,-1010.7,4315,-226.74470477950123
114,-1010.3,4316,-226.44199573448716
115,-1009.9,4321,-225.2359934994614
116,-1009.5,4331,-223.71026964523438
117,-1009.1,4335,-222.29352517735413
118,-1008.7,4336,-219.49307643305667
119,-1008.3,4347,-219.42948752237976
120,-1008.0,4357,-219.8599748642624
121,-1007.6,4367,-221.1570054990871
122,-1007.2,4365,-223.996620373053
123,-1006.8,4372,-226.3436278635564
124,-1006.4,4374,-228.8895687430188
125,-1006.0,4381,-232.47421864494504
126,-1005.6,4390,-235.3525074163231
127,-1005.2,4388,-236.3565730317179
128,-1004.9,4394,-237.39678807434626
129,-1004.5,4402,-236.40179145729616
130,-1004.1,4404,-235.568039088613
131,-1003.7,4420,-232.82417216087347
132,-1003.3,4416,-230.03435847622518
133,-1002.9,4418,-224.87619633345852
134,-1002.6,4429,-219.78761652033384
135,-1002.2,4420,-212.00392185125924
136,-1001.8,4430,-204.95878769274006
137,-1001.4,4421,-197.34846611460097
138,-1001.0,4453,-187.8816272154833
139,-1000.7,4443,-177.3693797434478
140,-1000.3,4476,-166.7441519968435
141,-999.89,4469,-156.55306730696003
142,-999.5,4462,-145.88589851780026
143,-999.12,4449,-135.94182458134838
144,-998.74,4446,-126.06336997929134
145,-998.35,4445,-115.83295656629787
146,-997.97,4438,-107.09815036063713
147,-997.59,4439,-98.23543807444864
148,-997.21,4446,-90.48813355538744
149,-996.83,4453,-81.76764497718548
150,-996.44,4457,-74.58300718354158
151,-996.06,4459,-68.01479784855339
152,-995.68,4472,-61.50194330892387
153,-995.3,4473,-53.99975364691281
154,-994.92,4470,-46.54292516529942
155,-994.54,4466,-39.18006875293354
156,-994.16,4473,-32.32907014899974
157,-993.78,4468,-25.946522730471216
158,-993.4,4472,-18.422078289564492
159,-993.02,4468,-9.335612994294738
160,-992.64,4467,-1.4771986522740832
161,-992.26,4483,5.503489307051058
162,-991.88,4472,14.351939114066383
163,-991.51,4475,22.03519553724048
164,-991.13,4478,28.64984847299637
165,-990.76,4483,34.15849994834381
166,-990.39,4481,39.138037500615035
167,-990.01,4481,44.1691147930739
168,-989.64,4477,49.214479649076864
169,-989.27,4488,54.27258647425141
170,-988.89,4478,58.601526672996854
171,-988.52,4480,65.14975343250055
172,-988.15,4481,72.03706178867796
173,-987.78,4485,76.47645145392872
174,-987.41,4485,81.37760589091513
175,-987.04,4487,85.76284936387913
176,-986.67,4486,90.063482706701
177,-986.3,4487,93.85859972110285
178,-985.93,4483,96.47815667864747
179,-985.56,4491,99.34968630492199
180,-985.19,4485,100.52791856889255
181,-984.82,4486,102.34622053404632
182,-984.45,4481,103.0931645809282
183,-984.08,4482,102.76896528741246
184,-983.71,4484,101.99991610651118
185,-983.33,4477,101.30016384244765
186,-982.96,4480,101.05573907524936
187,-982.6,4482,100.79268749281637
188,-982.23,4484,99.92756942654293
189,-981.86,4504,99.00471425439468
190,-981.49,4497,97.69286027704102
191,-981.13,4504,96.41070708426733
192,-980.76,4543,95.61800969330739
193,-980.39,4512,95.85261834754428
194,-980.02,4526,95.5466479724742
195,-979.66,4529,96.79280661407577
196,-979.29,4535,97.99936940568622
197,-978.93,4514,98.51214363300538
198,-978.56,4496,99.65955869487908
199,-978.19,4473,98.2528334424247
200,-977.82,4489,97.26560484719805
201,-977.45,4435,95.85536412744752
202,-977.09,4415,94.495260622635
203,-976.72,4416,92.6680225175288
204,-976.35,4421,91.74333153236938
205,-975.99,4432,90.59355164416246
206,-975.62,4461,88.6985198108469
207,-975.26,4502,87.65087447443298
208,-974.89,4509,86.59647640739044
209,-974.53,4519,85.42533312471383
210,-974.16,4519,85.28186691180699
211,-973.79,4491,83.94986134073878
212,-973.42,4423,84.93140500169483
213,-973.05,4374,83.20801533491074
214,-972.69,4351,84.62014500464454
215,-972.31,4327,86.89311920010641
216,-971.95,4272,88.75499409895349
217,-971.58,4244,88.05328728571746
218,-971.22,4247,87.76056538849093
219,-970.85,4253,86.31941983791542
220,-970.49,4263,84.43723235919325
221,-970.12,4285,81.27198975415962
222,-969.76,4300,78.01187034990943
223,-969.39,4305,75.32702052302854
224,-969.03,4332,70.7458010815204
225,-968.67,4330,66.32264638534159
226,-968.3,4339,63.49777006557636
227,-967.93,4343,60.67973125761271
228,-967.57,4354,57.207079535686404
229,-967.2,4363,53.495192641919424
230,-966.83,4364,50.08813494162238
231,-966.46,4364,48.30469171813728
232,-966.09,4359,42.720118483393996
233,-965.73,4364,38.61364154594199
234,-965.36,4362,32.41381215523912
235,-964.99,4367,24.968224797098628
236,-964.63,4375,15.81259892157178
237,-964.27,4377,5.346217583017577
238,-963.9,4387,-5.4107241466329015
239,-963.54,4415,-16.36758650288292
240,-963.17,4416,-29.516530786941125
241,-962.81,4427,-44.45114943895842
242,-962.44,4444,-59.047524062780866
243,-962.08,4473,-75.22189708274125
244,-961.71,4488,-90.77115117151594
245,-961.35,4474,-106.97806270374147
246,-960.98,4470,-120.32344520144233
247,-960.62,4477,-136.51138210219366
248,-960.25,4493,-149.8455268810258
249,-959.89,4500,-161.59090604287934
250,-959.53,4526,-174.62737709012907
251,-959.17,4572,-186.6120368262886
252,-958.81,4556,-195.9563792773958
253,-958.44,4537,-204.86251256050542
254,-958.08,4539,-212.96556331091315
255,-957.72,4546,-219.69201418395448
256,-957.36,4535,-225.63976742571478
257,-957.0,4529,-231.88659699723092
258,-956.64,4512,-236.82208946894207
259,-956.28,4469,-240.22116705419768
260,-955.92,4439,-242.51954754049785
261,-955.56,4424,-245.09323268028874
262,-955.2,4411,-245.1726132861653
263,-954.83,4419,-243.7998720025449
264,-954.47,4422,-242.65680501460173
265,-954.11,4413,-241.07974359295693
266,-953.74,4411,-240.19306505434523
267,-953.38,4410,-237.30349861724432
268,-953.01,4402,-235.43294086989786
269,-952.65,4401,-234.50927875942367
270,-952.29,4408,-232.69380180198556
271,-951.93,4407,-230.92429512863956
272,-951.57,4391,-230.7744304288207
273,-951.21,4393,-231.0594041893435
274,-950.84,4388,-231.6063738339558
275,-950.48,4383,-232.72777999055236
276,-950.12,4381,-234.4228339203093
277,-949.75,4377,-236.61866119080358
278,-949.39,4376,-237.45552862398225
279,-949.03,4375,-237.9880184953511
280,-948.67,4373,-238.3153683685083
281,-948.31,4371,-238.1432912569563
282,-947.95,4384,-237.7055681566052
283,-947.59,4369,-236.41672381224404
284,-947.23,4376,-236.77374129636888
285,-946.86,4364,-234.68370724992724
286,-946.5,4365,-231.6875330501402
287,-946.14,4367,-230.6644659629469
288,-945.78,4366,-231.54489833990203
289,-945.41,4370,-229.91536363989417
290,-945.05,4365,-228.99749825140748
291,-944.69,4365,-229.18698829838436
292,-944.33,4366,-227.640933606772
293,-943.97,4370,-228.3438756131812
294,-943.61,4370,-227.36944243343558
295,-943.24,4372,-228.28199446113942
296,-942.88,4376,-226.84467620020214
297,-942.52,4375,-226.03938043694103
298,-942.16,4378,-227.5145262018179
299,-941.8,4378,-227.86470422731435
300,-941.44,4378,-228.18334168386008
301,-941.08,4379,-228.42743878481926
302,-940.72,4376,-229.01965754210926
303,-940.36,4387,-227.30404974935297
304,-940.0,4387,-224.9315093038221
305,-939.64,4398,-221.81097156717328
306,-939.28,4396,-219.18540096728296
307,-938.92,4410,-218.18439902259394
308,-938.56,4408,-217.61776740621877
309,-938.2,4414,-218.10375576651222
310,-937.84,4411,-219.0692934025205
311,-937.48,4426,-220.04495782841826
312,-937.12,4422,-219.47763827283202
313,-936.76,4416,-219.5581242150216
314,-936.4,4415,-220.32916325213614
315,-936.04,4411,-219.6583575590401
316,-935.68,4413,-220.5725490987683
317,-935.33,4407,-221.55211019005353
318,-934.97,4411,-222.04104406107055
319,-934.61,4414,-222.04218913940744
320,-934.25,4420,-222.10022784330522
321,-933.89,4434,-221.54110787594453
322,-933.53,4436,-221.63904311740924
323,-933.18,4443,-221.3886619392678
324,-932.82,4447,-220.73014133811165
325,-932.46,4453,-218.95234739021535
326,-932.09,4446,-217.09624738027358
327,-931.73,4453,-215.20744766325268
328,-931.37,4441,-213.24101460644295
329,-931.01,4437,-208.588443849347
330,-930.65,4437,-204.1024284310504
331,-930.29,4436,-200.8692215803365
332,-929.93,4433,-198.95382315729347
333,-929.57,4430,-196.97602836574407
334,-929.21,4427,-194.89271757738985
335,-928.86,4431,-193.79615968539656
336,-928.5,4425,-193.26384001490692
337,-928.15,4435,-191.2503932935946
338,-927.79,4434,-190.45783915403388
339,-927.44,4442,-188.59004751004093
340,-927.08,4447,-187.87027291123758
341,-926.73,4448,-187.03573368657595
342,-926.37,4461,-186.4131074899319
343,-926.02,4461,-185.6957266824086
344,-925.66,4458,-187.3746644450701
345,-925.3,4440,-188.4982167797233
346,-924.94,4429,-189.16994326278513
347,-924.58,4430,-189.8147330776798
348,-924.23,4427,-190.43216683107204
349,-923.87,4402,-192.5813436143313
350,-923.51,4394,-193.65823084331947
351,-923.15,4383,-194.28355867745745
352,-922.79,4380,-194.36160694203005
353,-922.43,4392,-194.73811586476756
354,-922.07,4383,-194.65689987328713
355,-921.71,4398,-193.78517955697197
