Age,Lon,Lat,Distance
9.31,-47.62,24.14,-146.21
9.31,-44.90,24.16,153.99
9.31,-47.54,24.25,-139.16
9.31,-47.58,24.29,-143.95
9.31,-44.60,24.35,185.35
9.31,-47.54,24.37,-140.74
9.31,-44.43,24.46,190.08
9.31,-47.41,24.52,-143.67
9.31,-47.37,24.65,-147.15
9.31,-47.31,24.68,-149.12
9.31,-44.31,24.77,166.80
9.31,-44.29,24.87,152.27
9.31,-46.92,24.92,-149.94
9.31,-44.25,24.92,144.27
9.31,-43.86,25.00,180.96
9.31,-43.83,25.07,184.02
9.31,-46.79,25.11,-149.15
9.31,-43.79,25.17,179.99
9.31,-46.84,25.28,-161.97
9.31,-46.81,25.30,-163.35
9.31,-46.62,25.47,-148.22
9.31,-43.57,25.70,165.71
9.31,-46.31,25.70,-138.01
9.31,-46.28,25.75,-138.89
9.31,-46.25,25.80,-137.72
9.31,-46.27,25.90,-145.94
9.31,-46.21,26.02,-143.86
9.31,-46.04,26.12,-128.81
9.31,-46.03,26.15,-129.10
9.31,-45.90,26.27,-126.73
9.31,-45.90,26.31,-133.28
9.31,-43.27,26.31,157.40
9.31,-43.24,26.39,152.02
9.31,-45.89,26.48,-142.56
9.31,-45.76,26.64,-133.11
9.31,-45.74,26.79,-138.72
9.31,-43.11,26.87,149.32
9.31,-45.66,26.99,-135.49
9.31,-43.03,27.00,148.86
9.31,-45.68,27.01,-144.48
9.31,-45.63,27.14,-143.70
9.31,-42.93,27.25,150.83
9.31,-42.90,27.35,151.00
9.31,-42.89,27.45,147.68
9.31,-45.45,27.52,-137.02
9.31,-42.87,27.59,144.19
9.31,-45.43,27.68,-147.08
9.31,-42.80,27.73,136.63
9.31,-45.36,27.75,-145.98
9.31,-45.38,27.78,-147.88
9.31,-45.35,27.80,-148.26
9.31,-45.36,27.96,-152.87
9.31,-42.63,28.04,142.57
9.31,-42.54,28.22,144.49
9.31,-45.21,28.24,-154.82
9.31,-45.20,28.27,-155.74
9.31,-45.08,28.48,-159.39
9.31,-42.40,28.52,131.31
9.31,-41.91,28.89,173.21
9.31,-44.52,29.06,-143.36
9.31,-41.70,29.18,161.68
9.31,-41.56,29.23,170.70
9.31,-41.48,29.46,155.05
9.31,-44.34,29.51,-164.46
9.31,-41.45,29.58,152.28
9.31,-44.21,29.60,-153.59
9.31,-41.35,29.78,154.08
9.31,-43.97,29.79,-135.61
9.31,-40.78,30.00,215.25
20.13,-43.16,24.17,346.67
20.13,-43.11,24.34,350.21
20.13,-48.70,24.35,-267.79
20.13,-48.64,24.41,-268.05
20.13,-43.02,24.52,341.75
20.13,-42.81,24.69,347.80
20.13,-48.55,24.73,-295.89
20.13,-42.59,24.79,354.10
20.13,-48.39,24.89,-304.85
20.13,-48.34,24.93,-307.69
20.13,-42.55,24.94,332.12
20.13,-42.39,25.37,322.91
20.13,-42.37,25.41,324.30
20.13,-48.10,25.47,-311.70
20.13,-48.04,25.48,-306.82
20.13,-48.06,25.54,-314.98
20.13,-42.18,25.68,321.40
20.13,-47.70,25.72,-293.92
20.13,-47.51,26.05,-288.70
20.13,-41.98,26.07,321.66
20.13,-47.53,26.24,-304.27
20.13,-41.95,26.24,312.39
20.13,-47.39,26.39,-306.79
20.13,-47.40,26.44,-308.88
20.13,-41.72,26.48,318.93
20.13,-47.30,26.48,-298.34
20.13,-41.77,26.49,312.82
20.13,-47.35,26.67,-310.86
20.13,-47.27,26.70,-302.89
20.13,-47.21,26.77,-300.14
20.13,-41.62,26.89,313.73
20.13,-47.15,26.90,-298.34
20.13,-41.60,27.02,306.35
20.13,-47.06,27.03,-297.47
20.13,-41.54,27.06,311.53
20.13,-46.99,27.17,-294.86
20.13,-46.97,27.23,-294.98
20.13,-46.95,27.31,-294.93
20.13,-46.88,27.53,-295.30
20.13,-46.67,27.79,-292.48
20.13,-46.66,27.88,-295.12
20.13,-46.61,27.95,-291.33
20.13,-46.50,27.98,-281.55
20.13,-41.03,28.03,319.89
20.13,-46.40,28.33,-293.94
20.13,-40.77,28.36,327.02
20.13,-46.28,28.55,-299.14
20.13,-46.05,29.02,-305.43
20.13,-45.97,29.06,-303.85
20.13,-40.23,29.22,319.76
20.13,-40.13,29.40,310.63
20.13,-39.87,29.47,332.18
