Age,Lon,Lat,Distance
0.7800,-138.0704,-54.7408,-58.5816
0.7800,-138.0435,-54.7011,-57.7260
0.7800,-138.0143,-54.6758,-56.6892
0.7800,-137.2106,-54.9759,57.5867
0.7800,-137.1864,-54.9379,53.0835
0.7800,-137.1575,-54.9122,57.7443
43.7890,-152.5812,-50.2381,-2125.8395
43.7890,-152.5296,-50.1880,-2126.0355
43.7890,-152.4884,-50.1434,-2126.7190
41.3890,-152.0023,-50.4716,-2037.0824
41.3890,-151.9525,-50.4208,-2037.5530
41.3890,-151.9156,-50.3797,-2038.2910
40.1300,-151.8279,-50.5404,-2010.5132
40.1300,-151.7799,-50.4877,-2011.3979
40.1300,-151.7371,-50.4470,-2011.4620
38.4260,-151.2617,-50.7573,-1925.0200
38.4260,-151.2212,-50.7069,-1926.4373
38.4260,-151.1779,-50.6668,-1926.3721
37.4730,-151.0279,-50.8506,-1889.2787
37.4730,-150.9844,-50.8010,-1890.2905
37.4730,-150.9481,-50.7616,-1890.8905
36.6180,-150.8413,-50.9241,-1860.8712
36.6180,-150.7981,-50.8754,-1861.8104
36.6180,-150.7595,-50.8381,-1861.9248
36.3410,-150.7266,-50.9717,-1843.1293
36.3410,-150.6813,-50.9218,-1843.9772
36.3410,-150.6433,-50.8846,-1844.1591
35.6850,-150.4918,-51.0675,-1807.0032
35.6850,-150.4420,-51.0163,-1807.5223
35.6850,-150.3994,-50.9807,-1807.0155
34.9400,-150.2977,-51.1428,-1777.5804
34.9400,-150.2527,-51.0896,-1778.8383
34.6550,-150.2092,-51.1775,-1764.1270
34.9400,-150.2059,-51.0496,-1778.3956
34.6550,-150.1660,-51.1245,-1765.5527
34.6550,-150.1274,-51.0863,-1765.7813
33.5450,-149.8793,-51.3067,-1713.9854
33.5450,-149.8278,-51.2568,-1714.1727
33.5450,-149.7830,-51.2188,-1713.7013
33.0580,-149.7344,-51.3675,-1691.4987
33.0580,-149.6844,-51.3141,-1692.2493
33.0580,-149.6421,-51.2751,-1692.1701
30.9390,-149.0877,-51.6202,-1593.2709
30.9390,-149.0345,-51.5680,-1593.5412
30.9390,-148.9924,-51.5305,-1593.3110
30.4790,-148.9922,-51.6557,-1578.9676
30.4790,-148.9381,-51.6043,-1579.0465
30.4790,-148.8929,-51.5670,-1578.4657
30.0980,-148.8715,-51.6979,-1561.2107
30.0980,-148.8183,-51.6517,-1560.7932
30.0980,-148.7713,-51.6087,-1560.6644
29.4010,-148.5926,-51.7935,-1520.3855
29.4010,-148.5437,-51.7467,-1520.4816
29.4010,-148.5047,-51.7128,-1520.1823
28.7450,-148.3364,-51.9111,-1479.4632
28.7450,-148.2848,-51.8566,-1480.1613
28.7450,-148.2487,-51.8152,-1481.0258
28.2830,-148.1273,-51.9890,-1448.1353
28.2830,-148.0761,-51.9383,-1448.4506
28.2830,-148.0330,-51.9003,-1448.1648
27.9720,-147.9859,-52.0443,-1426.6613
27.9720,-147.9367,-51.9923,-1427.3265
27.9720,-147.8906,-51.9576,-1426.3552
27.0270,-147.6762,-52.1650,-1379.6443
27.0270,-147.6295,-52.1098,-1380.9588
27.0270,-147.5889,-52.0740,-1380.6996
26.5540,-147.5117,-52.2274,-1354.8888
26.5540,-147.4677,-52.1713,-1356.5837
26.5540,-147.4285,-52.1349,-1356.5341
25.8230,-147.2649,-52.3152,-1318.3856
25.8230,-147.2237,-52.2644,-1319.7782
25.8230,-147.1856,-52.2315,-1319.4420
24.8350,-146.9060,-52.4395,-1265.6971
24.8350,-146.8752,-52.3845,-1268.6827
24.8350,-146.8448,-52.3467,-1269.7444
24.0585,-146.6329,-52.5131,-1228.0020
24.0585,-146.5924,-52.4555,-1230.2458
24.0585,-146.5587,-52.4185,-1230.8566
23.0690,-146.2536,-52.6015,-1177.2186
23.0690,-146.2277,-52.5530,-1179.9972
23.0690,-146.2041,-52.5243,-1180.7432
21.1580,-145.6090,-52.7678,-1089.1010
21.1580,-145.5807,-52.7168,-1091.9016
21.1580,-145.5537,-52.6845,-1092.6893
20.1310,-145.2875,-52.8659,-1043.4087
20.1310,-145.2547,-52.8077,-1046.5534
20.1310,-145.2274,-52.7665,-1048.3353
19.0480,-144.9503,-52.9448,-998.2351
19.0480,-144.9221,-52.8952,-1000.8919
19.0480,-144.8969,-52.8652,-1001.6130
18.2810,-144.6696,-53.0205,-959.4882
18.2810,-144.6407,-52.9666,-962.5526
18.2810,-144.6193,-52.9356,-963.7988
17.4460,-144.4342,-53.0810,-927.3319
17.4460,-144.4041,-53.0270,-930.2868
17.4460,-144.3759,-52.9893,-931.5774
16.6410,-144.1615,-53.1535,-889.8128
16.6410,-144.1360,-53.0964,-893.6055
16.6410,-144.1104,-53.0556,-895.5192
16.1535,-143.9648,-53.1990,-863.5215
16.1535,-143.9648,-53.1990,-863.5215
16.1535,-143.9470,-53.1465,-867.6069
16.1535,-143.9470,-53.1465,-867.6069
16.1535,-143.9265,-53.1127,-869.2797
16.1535,-143.9265,-53.1127,-869.2797
15.0945,-143.5929,-53.2893,-813.3162
15.0945,-143.5767,-53.2418,-817.0140
15.0945,-143.5615,-53.2141,-818.5513
14.3950,-143.2983,-53.3727,-772.2065
14.3950,-143.2668,-53.3224,-774.5695
14.3950,-143.2363,-53.2752,-776.6988
13.0650,-142.7787,-53.4929,-702.7448
13.0650,-142.7558,-53.4521,-704.9515
