,Distance,Depth,Magnetic_Anomaly
0,1320.6,4782.3,-35.17530021691925
1,1319.9,4751.2,-48.70054106361008
2,1319.9,4757.8,-58.04104592675113
3,1319.2,4805.5,-67.38085029151924
4,1319.2,4808.0,-85.55906463338013
5,1318.5,4799.3,-94.57338310305872
6,1318.5,4767.0,-108.43753118370344
7,1317.8,4781.2,-135.74397345881385
8,1317.8,4855.2,-136.91753159768646
9,1317.1,4844.2,-147.25118473965705
10,1317.1,4822.2,-176.2544631931614
11,1316.4,4796.4,-173.14100440315758
12,1316.4,4768.8,-197.89907614721818
13,1315.7,4759.8,-219.70723959878433
14,1315.7,4789.5,-231.2469760373018
15,1315.0,4808.8,-253.0472566219736
16,1315.0,4798.0,-279.0526158985218
17,1314.3,4776.2,-292.0826039559209
18,1314.3,4803.4,-307.8025669260277
19,1313.6,4782.7,-339.6531566425043
20,1313.6,4825.3,-337.9981937786277
21,1312.9,4830.6,-361.1504407584529
22,1312.9,4866.1,-384.2271620851722
23,1312.2,4873.6,-380.7273527358575
24,1312.2,4857.5,-389.1562522508374
25,1311.5,4841.2,-398.12783691328383
26,1311.5,4820.4,-383.5248874985947
27,1310.9,4801.3,-386.4556210974688
28,1310.9,4781.2,-378.8454774583473
29,1310.2,4757.6,-355.4409164693026
30,1310.1,4801.9,-343.3436056208087
31,1310.1,4818.8,-336.1516130873094
32,1309.5,4794.0,-308.3553713769059
33,1309.5,4781.7,-297.60425410040136
34,1308.8,4735.9,-291.60541403780167
35,1308.8,4734.3,-269.3690397404731
36,1308.1,4767.7,-256.86922266948096
37,1308.1,4775.9,-252.15597673187546
38,1307.4,4750.6,-239.90701308804142
39,1307.4,4747.5,-242.67756986649897
40,1306.7,4751.1,-247.7883133872726
41,1306.7,4753.1,-252.63817973530817
42,1306.0,4755.5,-256.74082404567343
43,1306.0,4737.8,-275.0951307211072
44,1305.3,4724.0,-281.010994495435
45,1305.3,4730.1,-299.52884729103926
46,1304.6,4748.6,-313.6567793123347
47,1304.6,4761.3,-330.3070809492769
48,1303.9,4759.1,-346.37669101484056
49,1303.9,4734.4,-378.6683254564863
50,1303.2,4715.1,-379.68004347545826
51,1303.2,4722.6,-395.9070677052922
52,1302.5,4716.8,-415.34135598976167
53,1302.5,4715.3,-412.2987615900185
54,1301.8,4680.6,-429.09746783887977
55,1301.8,4671.2,-435.34219587339936
56,1301.1,4676.2,-434.35953072319234
57,1301.1,4687.0,-437.3162155442759
58,1300.4,4690.1,-451.26524301364253
59,1300.4,4687.2,-443.5734806765298
